time,T_Blackbody,T_InsideLeft,T_InsideRight,T_Outside
"00:00:00","24.94","25.05","25.11","24.86"
"00:00:10","24.94","25.05","25.10","24.85"
"00:00:20","24.94","25.04","25.10","24.85"
"00:00:30","24.95","25.05","25.12","24.86"
"00:00:40","24.96","25.06","25.12","24.86"
"00:00:50","24.96","25.06","25.12","24.86"
"00:01:00","24.96","25.06","25.12","24.86"
"00:01:10","24.96","25.07","25.12","24.86"
"00:01:20","24.99","25.06","25.12","24.86"
"00:01:30","25.57","25.07","25.12","24.86"
"00:01:40","26.86","25.07","25.13","24.86"
"00:01:50","28.43","25.08","25.13","24.86"
"00:02:00","30.08","25.09","25.15","24.87"
"00:02:10","31.74","25.11","25.16","24.88"
"00:02:20","33.39","25.12","25.16","24.88"
"00:02:30","35.18","25.13","25.16","24.88"
"00:02:40","36.84","25.14","25.15","24.88"
"00:02:50","38.40","25.15","25.14","24.88"
"00:03:00","39.98","25.16","25.15","24.89"
"00:03:10","41.55","25.18","25.15","24.89"
"00:03:20","43.08","25.19","25.14","24.88"
"00:03:30","44.74","25.20","25.14","24.89"
"00:03:40","46.27","25.23","25.14","24.90"
"00:03:50","47.77","25.24","25.15","24.90"
"00:04:00","49.25","25.26","25.15","24.90"
"00:04:10","50.70","25.27","25.15","24.90"
"00:04:20","52.15","25.28","25.16","24.90"
"00:04:30","52.89","25.29","25.16","24.91"
"00:04:40","55.18","25.32","25.17","24.91"
"00:04:50","56.57","25.34","25.18","24.91"
"00:05:00","57.95","25.35","25.18","24.91"
"00:05:10","59.31","25.36","25.18","24.91"
"00:05:20","60.67","25.38","25.18","24.92"
"00:05:30","62.12","25.40","25.19","24.93"
"00:05:40","63.43","25.42","25.20","24.94"
"00:05:50","64.73","25.44","25.20","24.94"
"00:06:00","66.01","25.46","25.21","24.94"
"00:06:10","67.26","25.47","25.21","24.94"
"00:06:20","68.53","25.49","25.22","24.95"
"00:06:30","69.81","25.50","25.22","24.95"
"00:06:40","71.03","25.52","25.22","24.96"
"00:06:50","72.23","25.54","25.23","24.96"
"00:07:00","73.42","25.56","25.24","24.97"
"00:07:10","74.60","25.58","25.24","24.97"
"00:07:20","75.76","25.60","25.25","24.98"
"00:07:30","76.90","25.62","25.25","24.99"
"00:07:40","78.01","25.64","25.26","25.00"
"00:07:50","79.12","25.65","25.25","25.00"
"00:08:00","80.23","25.68","25.27","25.01"
"00:08:10","81.32","25.70","25.26","25.02"
"00:08:20","82.40","25.72","25.26","25.03"
"00:08:30","83.46","25.74","25.26","25.03"
"00:08:40","84.50","25.75","25.25","25.03"
"00:08:50","85.53","25.77","25.25","25.04"
"00:09:00","86.56","25.79","25.25","25.04"
"00:09:10","87.57","25.81","25.26","25.05"
"00:09:20","88.56","25.83","25.26","25.06"
"00:09:30","89.53","25.84","25.26","25.06"
"00:09:40","90.50","25.86","25.27","25.07"
"00:09:50","91.45","25.88","25.27","25.07"
"00:10:00","92.39","25.89","25.28","25.07"
"00:10:10","93.33","25.92","25.29","25.08"
"00:10:20","94.24","25.93","25.30","25.09"
"00:10:30","95.14","25.94","25.30","25.09"
"00:10:40","96.03","25.96","25.31","25.10"
"00:10:50","96.92","25.99","25.33","25.11"
"00:11:00","97.79","26.00","25.33","25.12"
"00:11:10","98.63","26.02","25.33","25.12"
"00:11:20","99.48","26.04","25.34","25.13"
"00:11:30","100.31","26.05","25.35","25.13"
"00:11:40","101.13","26.08","25.36","25.14"
"00:11:50","101.94","26.09","25.37","25.15"
"00:12:00","102.73","26.11","25.36","25.15"
"00:12:10","103.54","26.13","25.37","25.16"
"00:12:20","104.31","26.15","25.38","25.17"
"00:12:30","105.07","26.17","25.39","25.18"
"00:12:40","105.82","26.18","25.39","25.18"
"00:12:50","106.56","26.19","25.39","25.18"
"00:13:00","107.27","26.20","25.39","25.18"
"00:13:10","107.99","26.22","25.40","25.19"
"00:13:20","108.71","26.25","25.41","25.21"
"00:13:30","109.40","26.27","25.42","25.21"
"00:13:40","110.08","26.28","25.42","25.21"
"00:13:50","110.77","26.30","25.44","25.23"
"00:14:00","111.44","26.32","25.45","25.24"
"00:14:10","112.09","26.34","25.46","25.24"
"00:14:20","112.73","26.35","25.46","25.24"
"00:14:30","113.38","26.37","25.47","25.26"
"00:14:40","114.00","26.38","25.48","25.26"
